UNK	0
PAD	1
SOS	2
SEP	3
，	4
0	5
、	6
的	7
1	8
。	9
2	10
用	11
机	12
电	13
5	14
-	15
可	16
器	17
动	18
m	19
3	20
能	21
C	22
度	23
工	24
S	25
：	26
4	27
.	28
高	29
P	30
/	31
6	32
量	33
M	34
A	35
D	36
8	37
控	38
和	39
设	40
制	41
系	42
e	43
式	44
数	45
T	46
性	47
测	48
作	49
自	50
接	51
有	52
产	53
I	54
等	55
线	56
i	57
于	58
E	59
功	60
品	61
定	62
型	63
；	64
以	65
行	66
输	67
装	68
采	69
压	70
一	71
a	72
）	73
时	74
n	75
R	76
统	77
大	78
（	79
o	80
通	81
光	82
L	83
t	84
传	85
速	86
备	87
B	88
G	89
方	90
计	91
V	92
业	93
H	94
s	95
口	96
件	97
化	98
全	99
合	100
r	101
在	102
应	103
体	104
7	105
进	106
流	107
成	108
精	109
加	110
网	111
力	112
分	113
中	114
料	115
,	116
置	117
位	118
及	119
多	120
不	121
为	122
点	123
率	124
具	125
模	126
理	127
是	128
信	129
N	130
持	131
9	132
程	133
标	134
保	135
过	136
出	137
无	138
安	139
面	140
配	141
F	142
实	143
使	144
支	145
据	146
要	147
l	148
现	149
种	150
主	151
对	152
特	153
提	154
上	155
单	156
适	157
温	158
O	159
)	160
W	161
气	162
路	163
管	164
内	165
K	166
(	167
轴	168
同	169
人	170
个	171
外	172
号	173
转	174
频	175
发	176
U	177
p	178
水	179
供	180
生	181
了	182
技	183
X	184
感	185
列	186
准	187
入	188
运	189
d	190
构	191
或	192
小	193
防	194
与	195
效	196
调	197
板	198
变	199
术	200
平	201
端	202
c	203
护	204
便	205
间	206
最	207
台	208
重	209
结	210
检	211
本	212
环	213
示	214
低	215
表	216
质	217
下	218
仪	219
床	220
需	221
换	222
u	223
操	224
开	225
源	226
直	227
选	228
车	229
级	230
切	231
部	232
送	233
户	234
带	235
g	236
稳	237
双	238
组	239
液	240
各	241
到	242
长	243
热	244
更	245
形	246
显	247
集	248
试	249
焊	250
求	251
*	252
:	253
包	254
